@relation housing_train_cleaned_excel

@attribute id numeric
@attribute region {birmingham,'huntsville / decatur',dothan,mobile,montgomery,'florence / muscle shoals',gadsden-anniston,tuscaloosa,'anchorage / mat-su',fairbanks,phoenix,'flagstaff / sedona',tucson,'little rock',prescott,yuma,fayetteville,bakersfield,texarkana,'fresno / madera',hanford-corcoran,'humboldt county','inland empire','los angeles','kenai peninsula','mohave county','southeast alaska','fort smith',jonesboro,'show low','gold country','sierra vista',chico,'imperial county',boulder,modesto,'orange county','mendocino county',merced,'palm springs','reno / tahoe','monterey bay',redding,sacramento,'san diego','san luis obispo','santa barbara','SF bay area',stockton,'ventura county',susanville,'colorado springs','new hampshire',cincinnati,'north dakota','akron / canton',bismarck,'grand forks',columbus,'dayton / springfield',cleveland,'lima / findlay',toledo,'northern panhandle','oklahoma city','zanesville / cambridge',ashtabula,lawton,chillicothe,texoma,tulsa,bend,corvallis/albany,'tuscarawas co','east oregon',eugene,medford-ashland,'oregon coast',portland,mansfield,stillwater,athens,parkersburg-marietta}
@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit','laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand numeric
@attribute latitude numeric
@attribute long numeric
@attribute state {al,ak,az,ar,ca,co,nh,oh,nd,ok,or}

@data
7039061606,birmingham,1195,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041970863,birmingham,1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041966914,birmingham,825,apartment,1133,1,1.5,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041966936,birmingham,800,apartment,927,1,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041966888,birmingham,785,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041966868,birmingham,900,apartment,1298,2,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041966702,birmingham,925,apartment,1350,2,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041964186,birmingham,1085,house,2308,3,2,1,1,0,0,0,0,'w/d hookups',?,1,33.0969,-86.7601,al
7041960353,birmingham,1269,apartment,1156,3,2,1,1,1,0,0,0,'w/d in unit',?,1,33.4237,-86.8015,al
7041959413,birmingham,799,apartment,703,1,1,1,1,1,0,0,0,'w/d in unit',?,1,33.4237,-86.8015,al
7041958307,birmingham,890,apartment,1050,2,2,0,0,1,0,0,0,?,?,1,33.4326,-86.7055,al
7041904307,birmingham,1355,apartment,1375,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4283,-86.7183,al
7041947089,birmingham,1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041938996,birmingham,685,house,672,2,1,1,1,0,0,0,0,'w/d hookups',carport,1,33.5755,-86.8856,al
7041948579,birmingham,1060,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7039497996,birmingham,1236,apartment,1285,2,2,1,1,1,1,0,0,'w/d hookups',?,1,33.4299,-86.7283,al
7041947161,birmingham,1100,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041935244,birmingham,870,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041934777,birmingham,815,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7038364091,birmingham,1195,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
