@relation housing_train_cleaned_excel_1c

@attribute sqfeet numeric
@attribute demand numeric
@attribute sqfeet_cleaned numeric

@data
1908,1,?
1319,1,1319
1133,1,1133
927,1,927
1047,1,1047
1298,1,1298
1350,1,1350
2308,1,?
1156,1,1156
703,1,703
1050,1,1050
1375,1,?
1319,1,1319
672,1,672
1100,1,1100
1285,1,1285
1100,1,1100
851,1,851
851,1,851
1908,1,?
1107,1,1107
906,1,906
1908,1,?
851,1,851
1350,1,1350
1047,1,1047
1100,1,1100
1319,1,1319
1009,1,1009
1100,1,1100
1100,1,1100
1285,1,1285
1700,1,?
560,1,?
1319,1,1319
851,1,851
1009,1,1009
996,1,996
1100,1,1100
1491,1,?
1189,1,1189
890,1,890
915,1,915
890,1,890
1065,1,1065
890,1,890
890,1,890
890,1,890
1300,1,1300
1338,1,1338
984,1,984
1908,1,?
851,1,851
1100,1,1100
906,1,906
1319,1,1319
1100,1,1100
1300,1,1300
1009,1,1009
560,1,?
1700,1,?
1150,1,1150
5201,1,?
1700,1,?
1144,1,1144
1324,0,1324
600,1,600
700,1,700
1080,1,1080
880,1,880
960,1,960
770,1,770
700,1,700
1216,1,1216
890,1,890
850,1,850
700,1,700
1332,1,1332
1346,0,1346
1095,1,1095
802,1,802
1908,1,?
1319,1,1319
1100,1,1100
700,1,700
1319,1,1319
700,1,700
700,1,700
770,1,770
1047,1,1047
960,1,960
700,1,700
1047,1,1047
960,1,960
700,1,700
1100,1,1100
770,1,770
1100,1,1100
1080,1,1080
960,1,960
880,1,880
1332,1,1332
880,1,880
600,1,600
880,1,880
1228,1,1228
960,1,960
1050,1,1050
1080,1,1080
700,1,700
960,1,960
1100,1,1100
1100,1,1100
1088,1,1088
1572,1,?
880,1,880
1339,1,1339
851,1,851
851,1,851
1346,1,1346
1056,1,1056
1161,1,1161
1050,1,1050
802,1,802
770,1,770
1908,1,?
1047,1,1047
803,1,803
802,1,802
1572,1,?
1418,1,?
984,1,984
802,1,802
1319,1,1319
851,1,851
1056,1,1056
1285,1,1285
1360,1,1360
1360,1,1360
1360,1,1360
1100,1,1100
851,1,851
1100,1,1100
1345,1,1345
1100,1,1100
1285,1,1285
851,1,851
1107,1,1107
950,1,950
1100,1,1100
1350,1,1350
927,1,927
1319,1,1319
1047,1,1047
1133,1,1133
1908,1,?
851,1,851
802,1,802
1418,1,?
1298,1,1298
1100,1,1100
1319,1,1319
1572,1,?
1009,1,1009
560,1,?
1073,1,1073
1047,1,1047
1100,1,1100
1100,1,1100
1400,1,?
1009,1,1009
851,1,851
855,1,855
802,1,802
560,1,?
1319,1,1319
750,1,750
1400,1,?
750,1,750
750,1,750
1416,1,?
1100,1,1100
1156,1,1156
1572,1,?
1418,1,?
1285,1,1285
1200,1,1200
1060,1,1060
1133,1,1133
1829,0,?
1100,1,1100
1226,1,1226
830,1,830
984,1,984
984,1,984
1397,1,?
1100,1,1100
1177,1,1177
1100,1,1100
1319,1,1319
1440,1,?
1100,1,1100
1100,1,1100
1100,1,1100
1572,1,?
851,1,851
1319,1,1319
851,1,851
1000,1,1000
851,1,851
1056,1,1056
1000,1,1000
855,1,855
1000,1,1000
802,1,802
1298,1,1298
1418,1,?
1908,1,?
1572,1,?
1285,1,1285
960,1,960
1156,1,1156
1056,1,1056
906,1,906
1346,1,1346
1056,1,1056
1300,1,1300
1100,1,1100
851,1,851
851,1,851
1000,1,1000
915,1,915
1100,1,1100
1319,1,1319
1100,1,1100
1319,1,1319
915,1,915
1100,1,1100
1228,1,1228
1095,1,1095
851,1,851
1161,1,1161
915,1,915
1346,1,1346
992,1,992
1339,1,1339
1156,1,1156
703,1,703
1088,1,1088
1156,1,1156
1512,1,?
703,1,703
1056,1,1056
1156,1,1156
1056,1,1056
1324,0,1324
1095,1,1095
906,1,906
1144,1,1144
1285,1,1285
1156,1,1156
1216,1,1216
933,1,933
890,1,890
1346,0,1346
703,1,703
890,1,890
890,1,890
1416,1,?
1100,1,1100
1156,1,1156
1332,1,1332
1150,1,1150
1306,1,1306
583,1,583
996,1,996
703,1,703
1156,1,1156
1056,1,1056
1285,1,1285
906,1,906
1319,1,1319
851,1,851
1029,1,1029
1222,1,1222
851,1,851
1100,1,1100
802,1,802
871,1,871
1285,1,1285
1100,1,1100
1047,1,1047
1156,1,1156
1319,1,1319
1100,1,1100
1065,1,1065
915,1,915
915,1,915
915,1,915
1319,1,1319
1100,1,1100
915,1,915
890,1,890
1000,1,1000
1298,1,1298
1908,1,?
1908,1,?
890,1,890
1029,1,1029
1862,1,?
1548,1,?
1418,1,?
802,1,802
1416,1,?
1418,1,?
890,1,890
1050,1,1050
1418,1,?
890,1,890
1575,1,?
890,1,890
906,1,906
1100,1,1100
1418,1,?
1133,1,1133
802,1,802
1100,1,1100
1908,1,?
1009,1,1009
851,1,851
560,1,?
1100,1,1100
1133,1,1133
1347,1,1347
1347,1,1347
1150,1,1150
1133,1,1133
1047,1,1047
591,1,591
1908,1,?
803,1,803
1862,1,?
1350,1,1350
1572,1,?
1047,1,1047
1161,1,1161
1319,1,1319
1319,1,1319
1100,1,1100
992,1,992
851,1,851
1133,1,1133
1319,1,1319
1512,1,?
1228,1,1228
1512,1,?
1339,1,1339
1100,1,1100
1088,1,1088
1319,1,1319
1100,1,1100
1100,1,1100
1346,1,1346
1056,1,1056
802,1,802
1144,1,1144
1050,1,1050
1216,1,1216
1047,1,1047
1572,1,?
851,1,851
1156,1,1156
1350,1,1350
984,1,984
560,1,?
1416,1,?
1056,1,1056
1298,1,1298
975,1,975
975,1,975
975,1,975
975,1,975
583,1,583
870,1,870
1360,1,1360
1360,1,1360
1360,1,1360
695,1,695
1047,1,1047
1156,1,1156
1416,1,?
1069,1,1069
855,1,855
1416,1,?
1285,1,1285
927,1,927
851,1,851
1908,1,?
1100,1,1100
1056,1,1056
1285,1,1285
806,1,806
1056,1,1056
677,1,677
1285,1,1285
560,1,?
851,1,851
1047,1,1047
1285,1,1285
1908,1,?
1572,1,?
1456,1,?
1047,1,1047
1133,1,1133
1418,1,?
1572,1,?
1862,1,?
1548,1,?
1350,1,1350
1009,1,1009
1100,1,1100
560,1,?
1202,1,1202
230,1,?
1319,1,1319
851,1,851
230,1,?
1094,1,1094
851,1,851
802,1,802
1418,1,?
1548,1,?
1350,1,1350
1319,1,1319
1319,1,1319
1100,1,1100
1100,1,1100
1047,1,1047
802,1,802
1548,1,?
1700,1,?
1700,1,?
677,1,677
1700,1,?
825,1,825
1200,1,1200
1319,1,1319
716,1,716
1056,1,1056
1319,1,1319
1372,1,?
1100,1,1100
1100,1,1100
1100,1,1100
1700,1,?
765,1,765
1103,1,1103
851,1,851
1100,1,1100
851,1,851
1056,1,1056
1285,1,1285
1572,1,?
894,1,894
1179,1,1179
1372,1,?
1179,1,1179
927,1,927
1156,1,1156
802,1,802
1418,1,?
1418,1,?
1350,1,1350
1350,1,1350
1572,1,?
1009,1,1009
1565,1,?
1319,1,1319
1100,1,1100
802,1,802
906,1,906
1285,1,1285
1298,1,1298
1047,1,1047
1298,1,1298
1047,1,1047
1047,1,1047
1133,1,1133
1520,1,?
826,1,826
851,1,851
927,1,927
1100,1,1100
1150,1,1150
1572,1,?
1324,0,1324
1346,1,1346
1050,1,1050
1216,1,1216
1144,1,1144
802,1,802
1100,1,1100
1056,1,1056
906,1,906
1056,1,1056
851,1,851
820,1,820
1268,1,1268
1319,1,1319
713,1,713
1047,1,1047
1100,1,1100
1319,1,1319
1100,1,1100
851,1,851
1100,1,1100
1029,1,1029
1156,1,1156
1056,1,1056
906,1,906
1009,1,1009
1100,1,1100
560,1,?
835,1,835
1100,1,1100
1156,1,1156
2413,0,?
1177,1,1177
2413,0,?
1520,1,?
1306,1,1306
1226,1,1226
1100,1,1100
1100,1,1100
560,1,?
594,1,594
673,1,673
673,1,673
1100,1,1100
673,1,673
1100,1,1100
1750,1,?
1100,1,1100
851,1,851
851,1,851
1100,1,1100
1319,1,1319
1100,1,1100
1740,1,?
1520,1,?
1319,1,1319
1156,1,1156
1056,1,1056
906,1,906
996,1,996
820,1,820
1095,1,1095
600,1,600
1065,1,1065
1050,1,1050
992,1,992
1512,1,?
1056,1,1056
1346,0,1346
906,1,906
856,1,856
1150,1,1150
1285,1,1285
1088,1,1088
1500,1,?
765,1,765
960,1,960
2096,0,?
750,1,750
950,1,950
960,1,960
970,1,970
1910,1,?
813,1,813
960,1,960
1088,1,1088
641,1,641
960,1,960
960,1,960
813,1,813
960,1,960
960,1,960
1100,1,1100
721,1,721
960,1,960
960,1,960
960,1,960
2600,1,?
830,1,830
955,1,955
641,1,641
641,1,641
641,1,641
641,1,641
1676,1,?
1229,1,1229
1220,0,1220
744,1,744
1782,0,?
2088,1,?
2100,1,?
977,1,977
1088,1,1088
1088,1,1088
1000,1,1000
724,1,724
977,1,977
800,0,800
724,1,724
1900,1,?
724,1,724
685,1,685
641,1,641
641,1,641
641,1,641
1360,1,1360
1050,1,1050
1747,0,?
956,1,956
740,1,740
641,1,641
641,1,641
641,1,641
641,1,641
641,1,641
960,1,960
960,1,960
960,1,960
1300,1,1300
2134,1,?
1159,1,1159
2186,1,?
1727,1,?
960,1,960
867,1,867
695,1,695
1159,1,1159
2186,1,?
2134,1,?
960,1,960
1367,1,?
540,1,?
977,1,977
930,1,930
1326,1,1326
923,1,923
724,1,724
2186,1,?
649,1,649
960,1,960
1300,1,1300
1375,1,?
977,1,977
944,1,944
944,1,944
724,1,724
876,1,876
1063,1,1063
649,1,649
960,1,960
900,1,900
1200,1,1200
960,1,960
1440,1,?
824,1,824
630,1,630
730,1,730
605,1,605
948,1,948
948,1,948
605,1,605
750,1,750
960,1,960
900,1,900
1280,1,1280
1280,1,1280
1,0,?
960,1,960
1386,1,?
960,1,960
960,1,960
960,1,960
960,1,960
960,1,960
1074,1,1074
1000,1,1000
500,1,?
650,1,650
1074,1,1074
1700,1,?
1500,1,?
2500,0,?
1000,1,1000
1500,1,?
1100,1,1100
775,1,775
880,1,880
2416,0,?
1054,1,1054
700,1,700
550,1,?
800,1,800
1154,1,1154
1750,1,?
2500,0,?
1054,1,1054
1176,1,1176
1054,1,1054
1000,1,1000
1000,1,1000
600,1,600
1000,1,1000
1100,1,1100
980,1,980
750,1,750
1074,1,1074
1100,1,1100
530,1,?
1564,1,?
1500,1,?
1054,1,1054
1054,1,1054
1500,1,?
1054,1,1054
1396,1,?
1400,0,?
1054,1,1054
850,1,850
1316,1,1316
970,1,970
1054,1,1054
720,1,720
1046,1,1046
768,1,768
1054,1,1054
1248,1,1248
1400,1,?
1150,1,1150
1100,1,1100
960,1,960
960,1,960
970,1,970
1492,1,?
1054,1,1054
1350,1,1350
1054,1,1054
850,1,850
996,1,996
658,1,658
658,1,658
1450,1,?
975,1,975
815,1,815
1800,1,?
850,1,850
1595,1,?
710,1,710
300,1,?
1100,1,1100
600,1,600
300,1,?
2400,1,?
850,1,850
1340,1,1340
980,1,980
1450,1,?
950,1,950
1121,1,1121
900,1,900
3000,0,?
1400,1,?
1900,1,?
980,1,980
1000,1,1000
400,1,?
800,1,800
1000,1,1000
960,1,960
1200,1,1200
1200,1,1200
1200,1,1200
1200,1,1200
1191,1,1191
1200,1,1200
1200,1,1200
1200,1,1200
1200,1,1200
1200,1,1200
710,1,710
1326,1,1326
1326,1,1326
1470,1,?
1560,1,?
900,1,900
1000,1,1000
896,1,896
778,1,778
1152,1,1152
767,1,767
785,1,785
700,1,700
1145,1,1145
908,1,908
1256,1,1256
1232,1,1232
1139,1,1139
1326,1,1326
1201,1,1201
1205,1,1205
800,1,800
960,1,960
1250,1,1250
1523,1,?
1552,1,?
1022,1,1022
880,1,880
1200,1,1200
1952,1,?
1198,1,1198
843,1,843
1201,1,1201
810,1,810
550,1,?
1470,1,?
866,1,866
920,1,920
888,1,888
1470,1,?
1560,1,?
1340,1,1340
705,1,705
1334,1,1334
1786,0,?
1560,1,?
1000,1,1000
1000,1,1000
1560,1,?
1470,1,?
1095,1,1095
1117,1,1117
1100,1,1100
940,1,940
1340,1,1340
1050,1,1050
1117,1,1117
1470,1,?
795,1,795
1033,1,1033
1560,1,?
705,1,705
640,1,640
1326,1,1326
1100,1,1100
1054,1,1054
1000,1,1000
1225,1,1225
1390,1,?
660,1,660
1560,1,?
1287,1,1287
800,1,800
830,1,830
1380,1,?
600,1,600
1086,1,1086
957,1,957
1421,1,?
558,1,?
807,1,807
880,1,880
1100,1,1100
1000,1,1000
1095,1,1095
1128,1,1128
830,1,830
622,1,622
920,1,920
550,1,?
1326,1,1326
830,1,830
1095,1,1095
1450,1,?
1380,1,?
1380,1,?
705,1,705
610,1,610
1035,1,1035
1470,1,?
550,1,?
1390,1,?
920,1,920
1470,1,?
1470,1,?
1340,1,1340
1326,1,1326
1340,1,1340
705,1,705
1380,1,?
705,1,705
1380,1,?
1396,1,?
1390,1,?
705,1,705
1560,1,?
1560,1,?
866,1,866
600,1,600
1390,1,?
866,1,866
1450,1,?
1470,1,?
1216,1,1216
1470,1,?
1390,1,?
705,1,705
1095,1,1095
1033,1,1033
1470,1,?
1402,1,?
1100,1,1100
1095,1,1095
1380,1,?
1326,1,1326
1000,1,1000
622,1,622
1095,1,1095
830,1,830
1390,1,?
1054,1,1054
1100,1,1100
550,1,?
869,1,869
550,1,?
497,1,?
1560,1,?
1638,1,?
1000,1,1000
830,1,830
803,1,803
1331,1,1331
2450,0,?
1870,1,?
1200,1,1200
1390,1,?
640,1,640
1000,1,1000
869,1,869
935,1,935
705,1,705
1095,1,1095
1287,1,1287
1450,1,?
1100,1,1100
622,1,622
1470,1,?
830,1,830
1200,1,1200
792,1,792
1390,1,?
869,1,869
1004,1,1004
915,1,915
1450,1,?
1225,1,1225
1000,1,1000
792,1,792
1340,1,1340
1450,1,?
1117,1,1117
1040,1,1040
1390,1,?
1380,1,?
751,1,751
768,1,768
1287,1,1287
870,1,870
640,1,640
1560,1,?
1100,1,1100
1200,1,1200
1100,1,1100
550,1,?
800,1,800
550,1,?
1560,1,?
900,1,900
830,1,830
558,1,?
552,1,?
900,1,900
1100,1,1100
1191,1,1191
1380,1,?
738,1,738
940,1,940
630,1,630
935,1,935
630,1,630
1150,1,1150
1326,1,1326
750,1,750
1005,1,1005
957,1,957
1421,1,?
807,1,807
920,1,920
1470,1,?
705,1,705
1045,1,1045
1380,1,?
1470,1,?
1326,1,1326
900,1,900
1470,1,?
1340,1,1340
705,1,705
830,1,830
1470,1,?
1470,1,?
1408,1,?
1326,1,1326
1450,1,?
1450,1,?
1450,1,?
866,1,866
866,1,866
1095,1,1095
1100,1,1100
858,1,858
705,1,705
1600,1,?
2100,1,?
1117,1,1117
795,1,795
1200,1,1200
600,1,600
869,1,869
1192,1,1192
1100,1,1100
798,1,798
1256,1,1256
798,1,798
1326,1,1326
792,1,792
1000,1,1000
1287,1,1287
1191,1,1191
1095,1,1095
1115,1,1115
915,1,915
600,1,600
800,1,800
915,1,915
1100,1,1100
1033,1,1033
1100,1,1100
600,1,600
900,1,900
495,1,?
830,1,830
1095,1,1095
1100,1,1100
830,1,830
640,1,640
790,1,790
1033,1,1033
1095,1,1095
1054,1,1054
1326,1,1326
1191,1,1191
780,1,780
800,1,800
1200,1,1200
869,1,869
1191,1,1191
915,1,915
1100,1,1100
1248,1,1248
750,1,750
1100,1,1100
1200,1,1200
730,1,730
1100,1,1100
940,1,940
630,1,630
866,1,866
940,1,940
866,1,866
1450,1,?
1450,1,?
558,1,?
869,1,869
1100,1,1100
550,1,?
1200,1,1200
845,1,845
869,1,869
600,1,600
900,1,900
700,1,700
500,1,?
856,1,856
840,1,840
800,1,800
856,1,856
856,1,856
1117,1,1117
792,1,792
792,1,792
800,1,800
780,1,780
500,1,?
1390,1,?
2850,0,?
750,1,750
1300,1,1300
1340,1,1340
1000,1,1000
